"class","class_full","comment","added_attributes","added_attributes_full","commentdelatt","deleted_attributes","deleted_attributes_full","commentdelatt","reference_version","target_version"
"epo:ParticipationConditionsSummary","http://data.europa.eu/a4g/ontology#ParticipationConditionsSummary","","epo:describesVerificationMethod","http://data.europa.eu/a4g/ontology#describesVerificationMethod","","","","","3.1.0","4.0.0-rc.1"
"epo:ProcedureTerm","http://data.europa.eu/a4g/ontology#ProcedureTerm","","","","","epo:hasLotAwardLimit","http://data.europa.eu/a4g/ontology#hasLotAwardLimit","","3.1.0","4.0.0-rc.1"
"epo:ProcurementCriteriaSummary","http://data.europa.eu/a4g/ontology#ProcurementCriteriaSummary","","epo:indicatesPerformingStaffInformationRequirement","http://data.europa.eu/a4g/ontology#indicatesPerformingStaffInformationRequirement","","","","","3.1.0","4.0.0-rc.1"
"epo:ProcurementElement","http://data.europa.eu/a4g/ontology#ProcurementElement","","dct:description","http://purl.org/dc/terms/description","","epo:hasDescription","http://data.europa.eu/a4g/ontology#hasDescription","","3.1.0","4.0.0-rc.1"
"epo:ProcurementElement","http://data.europa.eu/a4g/ontology#ProcurementElement","","dct:title","http://purl.org/dc/terms/title","","epo:hasTitle","http://data.europa.eu/a4g/ontology#hasTitle","","3.1.0","4.0.0-rc.1"
"epo:ProcurementObject","http://data.europa.eu/a4g/ontology#ProcurementObject","","epo:hasLegalBasisDescription","http://data.europa.eu/a4g/ontology#hasLegalBasisDescription","","","","","3.1.0","4.0.0-rc.1"
"epo:ProfessionalSuitabilitySummary","http://data.europa.eu/a4g/ontology#ProfessionalSuitabilitySummary","","epo:describesProfessionRelevantLaw","http://data.europa.eu/a4g/ontology#describesProfessionRelevantLaw","","","","","3.1.0","4.0.0-rc.1"
"epo:ProfessionalSuitabilitySummary","http://data.europa.eu/a4g/ontology#ProfessionalSuitabilitySummary","","epo:hasServiceReservedToParticularProfession","http://data.europa.eu/a4g/ontology#hasServiceReservedToParticularProfession","","","","","3.1.0","4.0.0-rc.1"
"epo:ProfessionalSuitabilitySummary","http://data.europa.eu/a4g/ontology#ProfessionalSuitabilitySummary","","epo:describesProfession","http://data.europa.eu/a4g/ontology#describesProfession","","","","","3.1.0","4.0.0-rc.1"
"epo:PurchaseContract","http://data.europa.eu/a4g/ontology#PurchaseContract","","","","","epo:isWithinFrameworkAgreement","http://data.europa.eu/a4g/ontology#isWithinFrameworkAgreement","","3.1.0","4.0.0-rc.1"
"epo:QualificationCriteriaSummary","http://data.europa.eu/a4g/ontology#QualificationCriteriaSummary","","epo:hasQualificationCondition","http://data.europa.eu/a4g/ontology#hasQualificationCondition","","","","","3.1.0","4.0.0-rc.1"
"epo:QualificationCriteriaSummary","http://data.europa.eu/a4g/ontology#QualificationCriteriaSummary","","epo:hasConditionVerificationMethod","http://data.europa.eu/a4g/ontology#hasConditionVerificationMethod","","","","","3.1.0","4.0.0-rc.1"
