"class","comment","added_attributes","deleted_attributes","reference_version","target_version"
"<http://data.europa.eu/a4g/ontology#AllowanceChargeInformation>","(renamed from epo-ord:PriceModifierInformation)","<http://data.europa.eu/a4g/ontology#hasPercentage>","<http://data.europa.eu/a4g/ontology#hasPricePercentage>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#AllowanceChargeInformation>","(renamed from epo-ord:PriceModifierInformation)","<http://data.europa.eu/a4g/ontology#hasAllowanceChargeReasonDescription>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#TaxInformation>","","<http://data.europa.eu/a4g/ontology#hasPercentage>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#TaxInformation>","","<http://purl.org/dc/terms/description>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#OrderResponse>","","<http://data.europa.eu/a4g/ontology#hasResponseDescription>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/m8g/Person>","","<http://data.europa.eu/m8g/registeredAddress>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ConcessionEstimate>","","<http://data.europa.eu/a4g/ontology#hasConcessionEstimatedValue>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ContractTerm>","","","<http://data.europa.eu/a4g/ontology#hasContractorLegalFormRequirement>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ContractTerm>","","<http://data.europa.eu/a4g/ontology#hasLegalFormRequirement>","<http://data.europa.eu/a4g/ontology#hasContractorLegalFormRequirementDescription>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#DeliveryInformation>","","","<http://data.europa.eu/a4g/ontology#concernsPlaceOfStorage>","3.1.0","4.0.0-rc.1"
