"class","added_attributes","deleted_attributes","reference_version","target_version"
"epo:ParticipationRequestProcessor","","epo:dependsOnBuyer → epo:Buyer","3.1.0","4.0.0-rc.1"
"epo:ParticipationRequestReceiver","","epo:dependsOnServiceProvider → epo:ProcurementServiceProvider","3.1.0","4.0.0-rc.1"
"epo:ParticipationRequestReceiver","","epo:dependsOnBuyer → epo:Buyer","3.1.0","4.0.0-rc.1"
"epo:PaymentExecutor","","epo:dependsOnServiceProvider → epo:ProcurementServiceProvider","3.1.0","4.0.0-rc.1"
"epo:PaymentExecutor","","epo:dependsOnBuyer → epo:Buyer","3.1.0","4.0.0-rc.1"
"epo:PlannedProcurementPart","","epo:hasLegalBasis → at-voc:legal-basis","3.1.0","4.0.0-rc.1"
"epo:PlannedProcurementPart","generalisation → epo:ProcurementElement","generalisation → epo:ProcurementObject","3.1.0","4.0.0-rc.1"
"epo:PlannedProcurementPart","epo:foreseesProcurementObject → epo:ProcurementObject","","3.1.0","4.0.0-rc.1"
"epo:Procedure","","epo:hasLegalBasis → at-voc:legal-basis","3.1.0","4.0.0-rc.1"
"epo:Procedure","","epo:hasLegalRegime → at-voc-new:legal-regime","3.1.0","4.0.0-rc.1"
"epo:Procedure","epo:specifiesProcurementCriteriaSummary → epo:ProcurementCriteriaSummary","epo:specifiesExclusionGround → epo:ExclusionGround","3.1.0","4.0.0-rc.1"
"epo:ProcurementCriteriaSummary","generalisation → cccev:Requirement","","3.1.0","4.0.0-rc.1"
"epo:ProcurementCriterion","epo:hasPerformingStaffQualificationInformation → at-voc:requirement-stage","","3.1.0","4.0.0-rc.1"
"epo:ProcurementElement","epo:hasInternalIdentifier → adms:Identifier","","3.1.0","4.0.0-rc.1"
"epo:ProcurementElement","epo:usesChannel → cv:Channel","","3.1.0","4.0.0-rc.1"
"epo:ProcurementElement","epo:hasEstimatedValue → epo:MonetaryValue","","3.1.0","4.0.0-rc.1"
"epo:ProcurementElement","adms:identifier → adms:Identifier","","3.1.0","4.0.0-rc.1"
"epo:ProcurementObject","","epo:hasID → epo:Identifier","3.1.0","4.0.0-rc.1"
"epo:ProcurementObject","","epo:usesChannel → cv:Channel","3.1.0","4.0.0-rc.1"
"epo:ProcurementObject","","epo:refersToPlannedPart → epo:PlannedProcurementPart","3.1.0","4.0.0-rc.1"
"epo:ProcurementObject","epo:hasLegalBasis → at-voc:legal-basis","","3.1.0","4.0.0-rc.1"
"epo:ProcurementObject","epo:foreseesConcession → epo:ConcessionEstimate","","3.1.0","4.0.0-rc.1"
"epo:ProfessionalSuitabilitySummary","generalisation → epo:SelectionCriteriaSummary","","3.1.0","4.0.0-rc.1"
"epo:Project","adms:identifier → adms:Identifier","","3.1.0","4.0.0-rc.1"
"epo:PurchaseContract","epo:resultsFromMiniCompetitionAwardOutcome → epo:MiniCompetitionAwardOutcome","","3.1.0","4.0.0-rc.1"
"epo:Purpose","","epo:hasMainClassification → at-voc:cpvsuppl","3.1.0","4.0.0-rc.1"
"epo:Purpose","","epo:hasAdditionalClassification → at-voc:cpvsuppl","3.1.0","4.0.0-rc.1"
"epo:QualificationCriteriaSummary","generalisation → epo:ProcurementCriteriaSummary","","3.1.0","4.0.0-rc.1"
"epo:QualificationCriterion","generalisation → epo:ProcurementCriterion","","3.1.0","4.0.0-rc.1"
"epo:ReviewDecision","epo:hasRemedyValue → epo:MonetaryValue","","3.1.0","4.0.0-rc.1"
"epo:ReviewObject","","epo:hasRemedyValue → epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:ReviewObject","generalisation → epo:Document","generalisation → epo:ProcurementElement","3.1.0","4.0.0-rc.1"
"epo:ReviewProcedureInformationProvider","","epo:dependsOnReviewer → epo:Reviewer","3.1.0","4.0.0-rc.1"
"epo:ReviewRequest","epo:hasReviewRequestFee → epo:MonetaryValue","epo:paidReviewRequestFee → epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:ReviewTerm","","generalisation → epo:ProcedureSpecificTerm","3.1.0","4.0.0-rc.1"
"epo:Reviewer","epo:hasReviewBodyType → at-voc:review-body-type","","3.1.0","4.0.0-rc.1"
"epo:SelectedCandidateList","epo:containsCandidate → epo:Candidate","","3.1.0","4.0.0-rc.1"
"epo:SelectedCandidateList","epo:hasStartDate → epo:Period","","3.1.0","4.0.0-rc.1"
"epo:SelectionCriteriaSummary","generalisation → epo:QualificationCriteriaSummary","","3.1.0","4.0.0-rc.1"
"epo:SelectionCriterion","generalisation → epo:QualificationCriterion","generalisation → epo:ProcurementCriterion","3.1.0","4.0.0-rc.1"
"epo:SubmissionStatisticalInformation","epo:summarisesInformationForAwardOutcome → epo:AwardOutcome","epo:summarisesInformationForLotAwardOutcome → epo:LotAwardOutcome","3.1.0","4.0.0-rc.1"
"epo:SubmissionTerm","epo:hasTenderValidityPeriod → epo:Period","epo:hasValidityPeriod → epo:Period","3.1.0","4.0.0-rc.1"
"epo:TechnicalAbilitySummary","generalisation → epo:SelectionCriteriaSummary","","3.1.0","4.0.0-rc.1"
"epo:TenderAwardOutcome","epo:indicatesAwardToWinner → epo:Winner","epo:indicatesAwardOfLotToWinner → epo:Winner","3.1.0","4.0.0-rc.1"
"epo:TenderAwardOutcome","epo:concernsTender → epo:Tender","epo:describesTender → epo:Tender","3.1.0","4.0.0-rc.1"
"epo:TenderProcessor","","epo:dependsOnServiceProvider → epo:ProcurementServiceProvider","3.1.0","4.0.0-rc.1"
"epo:TenderProcessor","","epo:dependsOnBuyer → epo:Buyer","3.1.0","4.0.0-rc.1"
"epo:TenderReceiver","","epo:dependsOnServiceProvider → epo:ProcurementServiceProvider","3.1.0","4.0.0-rc.1"
"epo:TenderReceiver","","epo:dependsOnBuyer → epo:Buyer","3.1.0","4.0.0-rc.1"
"epo:Tender","generalisation → epo:Document","generalisation → epo:ProcurementElement","3.1.0","4.0.0-rc.1"
"epo:Tender","epo:hasSubcontracting → at-voc:applicability","","3.1.0","4.0.0-rc.1"
"epo:VehicleInformation","epo:concernsGreenProcurement → epo:GreenProcurement","","3.1.0","4.0.0-rc.1"
"epo:VehicleInformation","epo:specifiesCleanVehicleDirectiveVehicleCategory → at-voc:vehicle-category","","3.1.0","4.0.0-rc.1"
"epo:VehicleInformation","epo:specifiesCleanVehicleDirectiveContractType → at-voc:cvd-contract-type","","3.1.0","4.0.0-rc.1"
"epo:Winner","epo:needsToBeATenderer → epo:Tenderer","epo:dependsOnTenderer → epo:Tenderer","3.1.0","4.0.0-rc.1"
"foaf:Agent","adms:identifier → adms:Identifier","epo:hasID → epo:Identifier","3.1.0","4.0.0-rc.1"
"foaf:Person","epo:hasCertification → epo-cat:Certificate","","3.1.0","4.0.0-rc.1"
"locn:Address","adms:identifier → adms:Identifier","epo:hasID → epo:Identifier","3.1.0","4.0.0-rc.1"
"org:Organization","epo:hasLegalIdentifier → adms:Identifier","","3.1.0","4.0.0-rc.1"
"org:Organization","epo:hasRegistrationCountry → at-voc:country","","3.1.0","4.0.0-rc.1"
"org:Organization","epo:hasCertification → epo-cat:Certificate","","3.1.0","4.0.0-rc.1"
"org:Organization","epo:hasTaxIdentifier → adms:Identifier","","3.1.0","4.0.0-rc.1"
"epo-cat:CatalogueLine","generalisation → epo-cat:Line","","3.1.0","4.0.0-rc.1"
"epo-cat:CatalogueLine","","epo:hasID → epo:Identifier","3.1.0","4.0.0-rc.1"
"epo-cat:CatalogueLine","","epo-cat:specifiesItem → epo-cat:Item","3.1.0","4.0.0-rc.1"
"epo-cat:Catalogue","","epo:hasValidityPeriod → epo:Period","3.1.0","4.0.0-rc.1"
"epo-cat:Catalogue","generalisation → epo-cat:PostAwardDocument","","3.1.0","4.0.0-rc.1"
"epo-cat:Catalogue","epo:specifiesCatalogueReceiver → epo:CatalogueReceiver","epo-cat:isReceivedByCatalogueReceiver → epo:CatalogueReceiver","3.1.0","4.0.0-rc.1"
"epo-cat:Catalogue","epo:specifiesCatalogueProvider → epo:CatalogueProvider","epo-cat:isReceivedByCatalogueProvider → epo:CatalogueProvider","3.1.0","4.0.0-rc.1"
"epo-cat:Catalogue","epo:specifiesBuyer → epo:Buyer","epo:isIntendedForBuyer → epo:Buyer","3.1.0","4.0.0-rc.1"
"epo-cat:ChargeInformation","generalisation → epo-ord:AllowanceChargeInformation","generalisation → epo-ord:PriceModifierInformation","3.1.0","4.0.0-rc.1"
"epo-cat:ChargeInformation","","epo-cat:hasChargeCategory → at-voc-new:charge-category","3.1.0","4.0.0-rc.1"
"epo-cat:ChargeInformation","","epo-cat:hasChargeCategoryModifier → at-voc-new:charge-modifier","3.1.0","4.0.0-rc.1"
"epo-cat:InformationHub","epo-cat:isSpecificToLine → epo-cat:Line","","3.1.0","4.0.0-rc.1"
"epo-cat:InformationHub","generalisation → epo:ContextSpecificDescription","","3.1.0","4.0.0-rc.1"
"epo-cat:ItemProperty (renamed from epo-cat:ItemDescription)","","generalisation → epo:ElementDescription","3.1.0","4.0.0-rc.1"
"epo-cat:Item","epo-ord:hasTaxInformation → epo-ord:TaxInformation","","3.1.0","4.0.0-rc.1"
"epo-cat:Item","epo:hasCertification → epo-cat:Certificate","epo-cat:hasCertification → epo-cat:ItemCertificate","3.1.0","4.0.0-rc.1"
"epo-cat:Item","epo:hasSellerItemID → adms:Identifier","epo:hasCertification → epo-cat:ItemCertificate","3.1.0","4.0.0-rc.1"
"epo-cat:Item","dct:isReplacedBy → epo-cat:Item","dct:isReplaceBy → epo-cat:Item","3.1.0","4.0.0-rc.1"
"epo-cat:Item","epo:hasSerialID → adms:Identifier","","3.1.0","4.0.0-rc.1"
"epo-cat:Item","epo-cat:hasExternalSpecification → epo:Document","","3.1.0","4.0.0-rc.1"
"epo-cat:Line","epo-cat:specifiesItem → epo-cat:Item","","3.1.0","4.0.0-rc.1"
"epo-cat:Line","adms:identifier → adms:Identifier","","3.1.0","4.0.0-rc.1"
"epo-cat:PostAwardDocument","generalisation → epo:Document","","3.1.0","4.0.0-rc.1"
"epo-cat:PostAwardDocument","epo-cat:hasDocumentType → at-voc-new:document-type","","3.1.0","4.0.0-rc.1"
"epo-cat:PostAwardDocument","epo:hasDocumentStatus → at-voc-new:document-status","","3.1.0","4.0.0-rc.1"
"epo-cat:Price","epo-ord:hasPriceDiscountInformation → epo-ord:AllowanceInformation","","3.1.0","4.0.0-rc.1"
"epo-cat:Price","epo:hasPriceSurchargeInformation → epo-cat:ChargeInformation","","3.1.0","4.0.0-rc.1"
"epo-cat:ProductSpecification","generalisation → epo-cat:PostAwardDocument","generalisation → epo:Document","3.1.0","4.0.0-rc.1"
"epo-ord:ContractInformation","generalisation → epo-cat:InformationHub","generalisation → epo:ContextSpecificDescription","3.1.0","4.0.0-rc.1"
"epo-ord:DeliveryAgreement","epo-ord:specifiesDeliveryAgreementLocation → dct:Location","","3.1.0","4.0.0-rc.1"
"epo-ord:DeliveryInformation","","epo:concernsBeneficiary → epo-ord:Beneficiary","3.1.0","4.0.0-rc.1"
"epo-ord:DeliveryInformation","epo-ord:specifiesPlaceOfDelivery → dct:Location","epo-ord:concernsPlaceOfDelivery → dct:Location","3.1.0","4.0.0-rc.1"
"epo-ord:DeliveryInformation","epo-ord:specifiesGeneralDeliveryAgreement → epo-ord:DeliveryAgreement","","3.1.0","4.0.0-rc.1"
"epo-ord:DeliveryInformation","epo-ord:specifiesSpecificDeliveryAgreement → epo-ord:DeliveryAgreement","","3.1.0","4.0.0-rc.1"
"epo-ord:DeliveryInformation","epo-ful:hasTrackingID → adms:Identifier","","3.1.0","4.0.0-rc.1"
"epo-ord:OrderLine","","epo-cat:specifiesItem → epo-cat:Item","3.1.0","4.0.0-rc.1"
"epo-ord:OrderLine","epo-cat:hasQuantity → epo:Quantity","epo-cat:hasOrderQuantity → epo:Quantity","3.1.0","4.0.0-rc.1"
"epo-ord:OrderLine","generalisation → epo-cat:Line","","3.1.0","4.0.0-rc.1"
"epo-ord:Order","","epo:hasValidityPeriod → epo:Period","3.1.0","4.0.0-rc.1"
"epo-ord:Order","","epo-ord:invoicedToInvoicee → epo-ord:Invoicee","3.1.0","4.0.0-rc.1"
"epo-ord:Order","","epo-ord:supersedesOrder → epo-ord:Order","3.1.0","4.0.0-rc.1"
"epo-ord:Order","epo-ord:hasTotalTaxInclusiveAmount → epo:MonetaryValue","","3.1.0","4.0.0-rc.1"
"epo-ord:Order","epo-ord:hasTotalTaxExclusiveAmount → epo:MonetaryValue","","3.1.0","4.0.0-rc.1"
"epo-ord:Order","epo:specifiesDespatcher → epo-ful:Despatcher","","3.1.0","4.0.0-rc.1"
"epo-ord:Order","epo-ord:hasTotalLineAmount → epo:MonetaryValue","","3.1.0","4.0.0-rc.1"
"epo-ord:Order","epo:refersToProject → epo:Project","","3.1.0","4.0.0-rc.1"
"epo-ord:Order","generalisation → epo-cat:PostAwardDocument","","3.1.0","4.0.0-rc.1"
"epo-ord:Order","epo-ord:hasTotalAllowanceAmount → epo:MonetaryValue","","3.1.0","4.0.0-rc.1"
"epo-ord:Order","epo:specifiesSeller → epo-ord:Seller","epo-ord:isSubmittedToSeller → epo-ord:Selle","3.1.0","4.0.0-rc.1"
"epo-ord:Order","epo-ord:hasRoundingAmount → epo:MonetaryValue","","3.1.0","4.0.0-rc.1"
"epo-ord:Order","epo-ord:specifiesAllowanceInformation → epo-ord:AllowanceInformation","epo-ord:specifiesDiscountInformation → epo-ord:DiscountInformatio","3.1.0","4.0.0-rc.1"
"epo-ord:Order","epo-ord:hasPrepaidAmount → epo:MonetaryValue","","3.1.0","4.0.0-rc.1"
"epo-ord:Order","epo-ord:hasAmountDueForPayment → epo:MonetaryValue","","3.1.0","4.0.0-rc.1"
