"subject","comment","predicate","object","reference_version","target_version"
"<http://data.europa.eu/a4g/ontology#TenderReceiver>","","<http://data.europa.eu/a4g/ontology#dependsOnBuyer>","<http://data.europa.eu/a4g/ontology#Buyer>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Winner>","","<http://data.europa.eu/a4g/ontology#dependsOnTenderer>","<http://data.europa.eu/a4g/ontology#Tenderer>","3.1.0","4.0.0-rc.1"
"<http://xmlns.com/foaf/0.1/Agent>","","<http://data.europa.eu/a4g/ontology#hasID>","<http://data.europa.eu/a4g/ontology#Identifier>","3.1.0","4.0.0-rc.1"
"<http://www.w3.org/ns/locn#Address>","","<http://data.europa.eu/a4g/ontology#hasID>","<http://data.europa.eu/a4g/ontology#Identifier>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#CatalogueLine>","","<http://data.europa.eu/a4g/ontology#hasID>","<http://data.europa.eu/a4g/ontology#Identifier>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#CatalogueLine>","","<http://data.europa.eu/a4g/ontology#specifiesItem>","<http://data.europa.eu/a4g/ontology#Item>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Catalogue>","","<http://data.europa.eu/a4g/ontology#hasValidityPeriod>","<http://data.europa.eu/a4g/ontology#Period>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Catalogue>","","<http://data.europa.eu/a4g/ontology#isReceivedByCatalogueReceiver>","<http://data.europa.eu/a4g/ontology#CatalogueReceiver>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Catalogue>","","<http://data.europa.eu/a4g/ontology#isReceivedByCatalogueProvider>","<http://data.europa.eu/a4g/ontology#CatalogueProvider>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Catalogue>","","<http://data.europa.eu/a4g/ontology#isIntendedForBuyer>","<http://data.europa.eu/a4g/ontology#Buyer>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ChargeInformation>","","<http://data.europa.eu/a4g/ontology#hasChargeCategory>","<http://publications.europa.eu/resource/authority/new/charge-category>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ChargeInformation>","","<http://data.europa.eu/a4g/ontology#hasChargeCategoryModifier>","<http://publications.europa.eu/resource/authority/new/charge-modifier>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Item>","","<http://data.europa.eu/a4g/ontology#hasCertification>","<http://data.europa.eu/a4g/ontology#ItemCertificate>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Item>","","<http://data.europa.eu/a4g/ontology#hasCertification>","<http://data.europa.eu/a4g/ontology#ItemCertificate>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Item>","","<http://purl.org/dc/terms/isReplaceBy>","<http://data.europa.eu/a4g/ontology#Item>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#DeliveryInformation>","","<http://data.europa.eu/a4g/ontology#concernsBeneficiary>","<http://data.europa.eu/a4g/ontology#Beneficiary>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#DeliveryInformation>","","<http://data.europa.eu/a4g/ontology#concernsPlaceOfDelivery>","<http://purl.org/dc/terms/Location>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#OrderLine>","","<http://data.europa.eu/a4g/ontology#specifiesItem>","<http://data.europa.eu/a4g/ontology#Item>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#OrderLine>","","<http://data.europa.eu/a4g/ontology#hasOrderQuantity>","<http://data.europa.eu/a4g/ontology#Quantity>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Order>","","<http://data.europa.eu/a4g/ontology#hasValidityPeriod>","<http://data.europa.eu/a4g/ontology#Period>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Order>","","<http://data.europa.eu/a4g/ontology#invoicedToInvoicee>","<http://data.europa.eu/a4g/ontology#Invoicee>","3.1.0","4.0.0-rc.1"
